financial_year,state,fertilizer_type,sales_current,sales_lag_1,requirement_current,requirement_lag_1,availability_current,availability_lag_1,iffco_production_current,iffco_production_lag_1,iffco_production_available,potential_reporting_break,target_sales
2015-16,Andaman & Nicobar,dap,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.01
2015-16,Andaman & Nicobar,mop,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2015-16,Andaman & Nicobar,npks,0.01,0.0,0.01,0.01,0.01,0.0,,,False,0,0.01
2015-16,Andaman & Nicobar,urea,0.0,0.01,0.01,0.01,0.0,0.01,,,False,0,0.01
2015-16,Andhra Pradesh,dap,3.77,2.94,4.7,5.52,3.89,3.13,,,False,0,3.73
2015-16,Andhra Pradesh,mop,2.12,2.54,3.5,2.94,2.23,2.77,,,False,0,2.54
2015-16,Andhra Pradesh,npks,12.08,12.51,13.5,13.84,12.49,13.4,,,False,0,11.49
2015-16,Andhra Pradesh,urea,15.47,18.07,17.35,18.27,16.21,18.54,,,False,0,14.38
2015-16,Arunachal Pradesh,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Arunachal Pradesh,mop,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2015-16,Arunachal Pradesh,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Arunachal Pradesh,urea,0.0,0.0,0.02,0.02,0.0,0.0,,,False,0,0.0
2015-16,Assam,dap,0.48,0.33,0.5,0.45,0.58,0.37,,,False,0,0.54
2015-16,Assam,mop,0.7,0.67,1.3,1.25,0.72,0.79,,,False,0,0.74
2015-16,Assam,npks,0.15,0.11,0.1,0.1,0.16,0.13,,,False,0,0.11
2015-16,Assam,urea,3.91,3.16,3.3,3.15,3.93,3.19,,,False,0,3.19
2015-16,Bihar,dap,5.45,3.53,5.0,4.6,5.88,3.66,,,False,0,5.32
2015-16,Bihar,mop,1.54,1.54,1.9,1.55,1.65,1.77,,,False,0,2.3
2015-16,Bihar,npks,3.7,2.66,3.25,2.75,3.87,2.87,,,False,0,2.54
2015-16,Bihar,urea,23.58,19.4,19.25,19.0,23.84,19.43,,,False,0,19.77
2015-16,Chandigarh,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Chandigarh,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Chandigarh,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Chandigarh,urea,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Chhattisgarh,dap,3.13,2.33,3.0,2.75,3.28,2.37,,,False,0,2.91
2015-16,Chhattisgarh,mop,0.72,0.61,1.05,0.85,0.82,0.7,,,False,0,0.61
2015-16,Chhattisgarh,npks,0.88,0.71,1.5,1.8,0.98,0.78,,,False,0,0.68
2015-16,Chhattisgarh,urea,8.45,6.28,6.75,6.75,8.74,6.32,,,False,0,6.5
2015-16,Dadra & Nagar Haveli,dap,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.01
2015-16,Dadra & Nagar Haveli,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Dadra & Nagar Haveli,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Dadra & Nagar Haveli,urea,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.01
2015-16,Daman & Diu,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Daman & Diu,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Daman & Diu,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Daman & Diu,urea,0.0,0.0,0.01,0.0,0.0,0.0,,,False,0,0.0
2015-16,Delhi,dap,0.01,0.0,0.06,0.05,0.01,0.0,,,False,0,0.01
2015-16,Delhi,mop,0.0,0.0,0.02,0.02,0.0,0.0,,,False,0,0.0
2015-16,Delhi,npks,0.0,0.0,0.03,0.03,0.0,0.0,,,False,0,0.0
2015-16,Delhi,urea,0.11,0.09,0.09,0.08,0.11,0.09,,,False,0,0.13
2015-16,Goa,dap,0.02,0.01,0.02,0.03,0.02,0.01,,,False,0,0.02
2015-16,Goa,mop,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.01
2015-16,Goa,npks,0.03,0.03,0.05,0.05,0.03,0.03,,,False,0,0.03
2015-16,Goa,urea,0.04,0.04,0.05,0.05,0.04,0.04,,,False,0,0.03
2015-16,Gujarat,dap,5.12,4.04,5.0,5.4,5.28,4.31,,,False,0,4.48
2015-16,Gujarat,mop,1.17,1.33,1.8,1.4,1.19,1.36,,,False,0,1.43
2015-16,Gujarat,npks,5.98,5.61,5.2,5.2,6.26,5.94,,,False,0,6.12
2015-16,Gujarat,urea,21.04,22.7,20.5,22.0,21.31,22.75,6.01,5.97,True,0,20.55
2015-16,Haryana,dap,6.64,4.12,6.0,4.5,6.8,4.27,,,False,0,5.62
2015-16,Haryana,mop,0.4,0.51,0.45,0.25,0.5,0.59,,,False,0,0.62
2015-16,Haryana,npks,0.25,0.35,0.65,0.45,0.28,0.36,,,False,0,0.18
2015-16,Haryana,urea,21.13,20.02,18.6,18.6,21.7,20.05,,,False,0,19.62
2015-16,Himachal Pradesh,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.01
2015-16,Himachal Pradesh,mop,0.08,0.1,0.09,0.09,0.08,0.1,,,False,0,0.09
2015-16,Himachal Pradesh,npks,0.36,0.21,0.3,0.31,0.36,0.21,,,False,0,0.37
2015-16,Himachal Pradesh,urea,0.73,0.67,0.71,0.7,0.73,0.67,,,False,0,0.62
2015-16,J&K,dap,0.59,0.64,0.78,0.72,0.61,0.73,,,False,0,0.66
2015-16,J&K,mop,0.11,0.25,0.26,0.25,0.11,0.3,,,False,0,0.29
2015-16,J&K,npks,0.03,0.02,0.0,0.0,0.03,0.02,,,False,0,0.01
2015-16,J&K,urea,1.55,1.16,1.32,1.38,1.59,1.17,,,False,0,1.29
2015-16,Jharkhand,dap,0.66,0.27,1.05,0.75,0.66,0.27,,,False,0,0.62
2015-16,Jharkhand,mop,0.03,0.01,0.16,0.16,0.03,0.01,,,False,0,0.03
2015-16,Jharkhand,npks,0.33,0.26,0.85,0.55,0.35,0.26,,,False,0,0.15
2015-16,Jharkhand,urea,2.35,1.8,2.25,2.25,2.39,1.8,,,False,0,2.19
2015-16,Karnataka,dap,5.89,5.1,5.9,6.0,6.15,5.24,,,False,0,6.16
2015-16,Karnataka,mop,2.48,3.63,3.91,3.25,2.64,3.94,,,False,0,2.39
2015-16,Karnataka,npks,11.92,12.1,11.63,12.0,12.9,12.61,,,False,0,11.11
2015-16,Karnataka,urea,14.61,15.32,13.71,14.0,15.38,15.42,,,False,0,12.98
2015-16,Kerala,dap,0.24,0.31,0.34,0.25,0.28,0.35,,,False,0,0.29
2015-16,Kerala,mop,0.86,1.14,1.75,1.63,0.88,1.15,,,False,0,0.9
2015-16,Kerala,npks,1.21,1.4,2.25,2.3,1.32,1.5,,,False,0,1.13
2015-16,Kerala,urea,1.41,1.36,1.68,1.7,1.48,1.36,,,False,0,1.14
2015-16,Lakshadweep,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Lakshadweep,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Lakshadweep,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Lakshadweep,urea,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
