financial_year,state,iffco_fertiliser_type,iffco_production
2014-15,Gujarat,DAP & Complexes,16.41
2014-15,Gujarat,Urea,5.97
2014-15,Odisha,DAP & Complexes,16.92
2014-15,Uttar Pradesh,Urea,35.3
2015-16,Gujarat,DAP & Complexes,22.56
2015-16,Gujarat,Urea,6.01
2015-16,Odisha,DAP & Complexes,17.11
2015-16,Uttar Pradesh,Urea,40.68
2016-17,Gujarat,DAP & Complexes,25.05
2016-17,Gujarat,Urea,6.02
2016-17,Odisha,DAP & Complexes,16.31
2016-17,Uttar Pradesh,Urea,37.27
2017-18,Gujarat,DAP & Complexes,20.29
2017-18,Gujarat,Urea,6.02
2017-18,Odisha,DAP & Complexes,17.24
2017-18,Uttar Pradesh,Urea,35.08
2018-19,Gujarat,DAP & Complexes,19.23
2018-19,Gujarat,Urea,6.02
2018-19,Odisha,DAP & Complexes,16.54
2018-19,Uttar Pradesh,Urea,39.59
2019-20,Gujarat,DAP & Complexes,23.27
2019-20,Gujarat,Urea,6.02
2019-20,Odisha,DAP & Complexes,19.31
2019-20,Uttar Pradesh,Urea,42.73
2020-21,Gujarat,DAP & Complexes,22.83
2020-21,Gujarat,Urea,6.24
2020-21,Odisha,DAP & Complexes,19.88
2020-21,Uttar Pradesh,Urea,40.51
2021-22,Gujarat,DAP & Complexes,23.4
2021-22,Gujarat,Urea,5.45
2021-22,Odisha,DAP & Complexes,19.95
2021-22,Uttar Pradesh,Urea,38.17
2022-23,Gujarat,DAP & Complexes,24.87
2022-23,Gujarat,Urea,6.62
2022-23,Odisha,DAP & Complexes,21.88
2022-23,Uttar Pradesh,Urea,42.19
2023-24,Gujarat,DAP & Complexes,18.9
2023-24,Gujarat,Urea,6.19
2023-24,Odisha,DAP & Complexes,21.17
2023-24,Uttar Pradesh,Urea,42.67
2024-25,Gujarat,DAP & Complexes,21.26
2024-25,Gujarat,Urea,5.47
2024-25,Odisha,DAP & Complexes,21.46
2024-25,Uttar Pradesh,Urea,39.1
