financial_year,district,iffco_supply,is_partial_year,supply_unit
2022-23,Ajmer,21835,False,not specified in source
2022-23,Alwar,17118,False,not specified in source
2022-23,Banswara,18227,False,not specified in source
2022-23,Baran,15599,False,not specified in source
2022-23,Barmer,10361,False,not specified in source
2022-23,Bharatpur,10086,False,not specified in source
2022-23,Bhilwara,22210,False,not specified in source
2022-23,Bikaner,33094,False,not specified in source
2022-23,Bundi,21324,False,not specified in source
2022-23,Chittorgarh,19285,False,not specified in source
2022-23,Churu,13521,False,not specified in source
2022-23,Dausa,7354,False,not specified in source
2022-23,Dhaulpur,4847,False,not specified in source
2022-23,Dungarpur,2221,False,not specified in source
2022-23,Ganganagar,36612,False,not specified in source
2022-23,Hanumangarh,24585,False,not specified in source
2022-23,Jaipur,24543,False,not specified in source
2022-23,Jaisalmer,6154,False,not specified in source
2022-23,Jalor,8917,False,not specified in source
2022-23,Jhalawar,11062,False,not specified in source
2022-23,Jhunjhunu,5689,False,not specified in source
2022-23,Jodhpur,14851,False,not specified in source
2022-23,Karauli,8114,False,not specified in source
2022-23,Kota,21031,False,not specified in source
2022-23,Nagaur,20096,False,not specified in source
2022-23,Pali,11379,False,not specified in source
2022-23,Pratapgarh,8241,False,not specified in source
2022-23,Rajsamand,5151,False,not specified in source
2022-23,Sawai Madhopur,13547,False,not specified in source
2022-23,Sikar,10666,False,not specified in source
2022-23,Sirohi,10625,False,not specified in source
2022-23,Tonk,13687,False,not specified in source
2022-23,Udaipur,8923,False,not specified in source
2023-24,Ajmer,18102,False,not specified in source
2023-24,Alwar,15412,False,not specified in source
2023-24,Banswara,17752,False,not specified in source
2023-24,Baran,13906,False,not specified in source
2023-24,Barmer,11553,False,not specified in source
2023-24,Bharatpur,10611,False,not specified in source
2023-24,Bhilwara,21035,False,not specified in source
2023-24,Bikaner,35596,False,not specified in source
2023-24,Bundi,18897,False,not specified in source
2023-24,Chittorgarh,17859,False,not specified in source
2023-24,Churu,12413,False,not specified in source
2023-24,Dausa,5138,False,not specified in source
2023-24,Dhaulpur,4987,False,not specified in source
2023-24,Dungarpur,2033,False,not specified in source
2023-24,Ganganagar,39711,False,not specified in source
2023-24,Hanumangarh,21084,False,not specified in source
2023-24,Jaipur,19522,False,not specified in source
2023-24,Jaisalmer,7175,False,not specified in source
2023-24,Jalor,10010,False,not specified in source
2023-24,Jhalawar,9816,False,not specified in source
2023-24,Jhunjhunu,6357,False,not specified in source
2023-24,Jodhpur,17522,False,not specified in source
2023-24,Karauli,5647,False,not specified in source
2023-24,Kota,17129,False,not specified in source
2023-24,Nagaur,18887,False,not specified in source
2023-24,Pali,13433,False,not specified in source
2023-24,Pratapgarh,8488,False,not specified in source
2023-24,Rajsamand,6019,False,not specified in source
2023-24,Sawai Madhopur,9106,False,not specified in source
2023-24,Sikar,7151,False,not specified in source
