state,observations,naive_MAE,rf_MAE
Uttarakhand,20,1.881999999999999,3.664810000000015
Maharashtra,20,1.8695,1.7383675000000056
Madhya Pradesh,20,1.6070000000000004,1.7171724999999967
Karnataka,20,1.4369999999999998,1.0718199999999982
West Bengal,20,1.0340000000000003,1.2503025000000036
Andhra Pradesh,20,1.0224999999999995,0.9824174999999975
Gujarat,20,0.9220000000000003,0.838422499999999
Telangana,20,0.8854999999999997,1.1477824999999973
Rajasthan,20,0.873,1.1417924999999978
Bihar,20,0.8125,0.8470824999999991
Punjab,20,0.7010000000000002,0.7692649999999962
Chhattisgarh,20,0.567,0.5446174999999995
Tamil Nadu,20,0.4924999999999999,0.9128549999999969
Haryana,20,0.43949999999999995,0.7315100000000042
Odisha,20,0.3185,0.2403349999999985
J&K,20,0.18,0.24700924999999976
Jharkhand,20,0.154,0.22766750000000027
Assam,20,0.12799999999999997,0.10384999999999975
Kerala,20,0.119,0.0946075000000001
Uttar Pradesh,20,0.07900000000000003,0.1185824999999997
Manipur,20,0.0375,0.0305667708333333
Himachal Pradesh,20,0.0315,0.2107547678571431
Tripura,20,0.0185,0.02848764880952384
Mizoram,20,0.014000000000000002,0.02356833333333333
Delhi,20,0.0125,0.019386666666666674
Puducherry,20,0.012,0.016096736111111128
Dadra & Nagar Haveli,20,0.003,0.002197827380952381
Goa,20,0.003,0.003518799603174605
Meghalaya,20,0.002,0.0025100000000000027
Arunachal Pradesh,20,0.0005,0.0007408035714285709
Andaman & Nicobar,20,0.0,0.0008676666666666671
Sikkim,20,0.0,0.0
Nagaland,20,0.0,0.0012725833333333326
Daman & Diu,20,0.0,0.0
Chandigarh,20,0.0,3.5000000000000004e-05
Lakshadweep,20,0.0,0.0
